primary_hgnc_id	secondary_hgnc_id	primary_symbol	secondary_symbol
HGNC:24085	NA	SRPRB	APMCF1
HGNC:24085	NA	SRPRB	SR-beta
HGNC:11309	NA	SRPX	ETX1
HGNC:11309	NA	SRPX	SRPX1
HGNC:30668	NA	SRPX2	SRPUL
HGNC:14398	NA	SRR	ILV1
HGNC:14398	NA	SRR	ISO1
HGNC:33910	NA	SRRD	HC/HCC
HGNC:33910	NA	SRRD	SRR1L
HGNC:16638	NA	SRRM1	SRM160
HGNC:16638	NA	SRRM1	POP101
HGNC:16638	NA	SRRM1	MGC39488
HGNC:16639	NA	SRRM2	SRm300
HGNC:16639	NA	SRRM2	SRL300
HGNC:16639	NA	SRRM2	KIAA0324
HGNC:16639	NA	SRRM2	Cwc21
HGNC:26729	NA	SRRM3	FLJ37078
HGNC:29389	NA	SRRM4	nSR100
HGNC:24101	NA	SRRT	Asr2
HGNC:24101	NA	SRRT	serrate
HGNC:24101	NA	SRRT	ARS2
HGNC:10780	NA	SRSF1	ASF
HGNC:10780	NA	SRSF1	SF2
HGNC:10780	NA	SRSF1	SRp30a
HGNC:10780	NA	SRSF1	SF2p33
HGNC:10780	NA	SRSF1	MGC5228
HGNC:10783	NA	SRSF2	SC-35
HGNC:10783	NA	SRSF2	SC35
HGNC:10783	NA	SRSF2	PR264
HGNC:10783	NA	SRSF2	SFRS2A
HGNC:10785	NA	SRSF3	SRp20
HGNC:10786	NA	SRSF4	SRP75
HGNC:10787	NA	SRSF5	SRP40
HGNC:10787	NA	SRSF5	HRS
HGNC:10788	NA	SRSF6	SRP55
HGNC:10788	NA	SRSF6	B52
HGNC:10789	NA	SRSF7	9G8
HGNC:10789	NA	SRSF7	ZCRB2
HGNC:10789	NA	SRSF7	HSSG1
HGNC:10789	NA	SRSF7	AAG3
HGNC:10789	NA	SRSF7	RBM37
HGNC:10789	NA	SRSF7	ZCCHC20
HGNC:16988	NA	SRSF8	SRP46
HGNC:10791	NA	SRSF9	SRp30c
HGNC:16713	NA	SRSF10	TASR1
HGNC:16713	NA	SRSF10	TASR2
HGNC:16713	NA	SRSF10	SRp38
HGNC:16713	NA	SRSF10	SRrp40
HGNC:16713	NA	SRSF10	SFRS13
HGNC:16713	NA	SRSF10	PPP1R149
HGNC:31002	NA	SRSF10P1	HsT2687
HGNC:10782	NA	SRSF11	p54
HGNC:10782	NA	SRSF11	NET2
HGNC:21220	NA	SRSF12	SRrp35
HGNC:21220	NA	SRSF12	SFRS19
HGNC:16132	NA	SRXN1	Npn3
HGNC:16132	NA	SRXN1	SRX1
HGNC:16132	NA	SRXN1	YKL086W
HGNC:16132	NA	SRXN1	dJ850E9.2
HGNC:11311	NA	SRY	TDF
HGNC:11340	NA	SS18	SYT
HGNC:11340	NA	SS18	SMARCL1
HGNC:15592	NA	SS18L1	KIAA0693
HGNC:15592	NA	SS18L1	CREST
HGNC:15592	NA	SS18L1	SMARCL2
HGNC:15593	NA	SS18L2	KIAA-iso
HGNC:11316	NA	SSB	LARP3
HGNC:11316	NA	SSB	La
HGNC:11316	NA	SSB	La/SSB
HGNC:11317	NA	SSBP1	SSBP
HGNC:11317	NA	SSBP1	mtSSB
HGNC:15831	NA	SSBP2	HSPC116
HGNC:15674	NA	SSBP3	CSDP
HGNC:15674	NA	SSBP3	SSDP
HGNC:15674	NA	SSBP3	FLJ10355
HGNC:15674	NA	SSBP3	SSDP1
HGNC:32328	NA	SSBP3-AS1	MSTP128
HGNC:14461	NA	SSC4D	SRCRB-S4D
HGNC:14461	NA	SSC4D	S4D-SRCRB
HGNC:26641	NA	SSC5D	FLJ35258
HGNC:26641	NA	SSC5D	S5D-SRCRB
HGNC:30579	NA	SSH1	KIAA1298
HGNC:30579	NA	SSH1	SSH1L
HGNC:30580	NA	SSH2	KIAA1725
HGNC:30581	NA	SSH3	FLJ20515
HGNC:30581	NA	SSH3	FLJ10928
HGNC:29580	NA	SSMEM1	FLJ40316
HGNC:11321	NA	SSNA1	NA14
HGNC:11321	NA	SSNA1	N14
HGNC:11322	NA	SSPN	SPN1
HGNC:11322	NA	SSPN	SPN2
HGNC:21998	NA	SSPOP	SCO-spondin
HGNC:21998	NA	SSPOP	KIAA0543
HGNC:21998	NA	SSPOP	FLJ36112
HGNC:11323	NA	SSR1	TRAPA
HGNC:11324	NA	SSR2	TLAP
HGNC:11324	NA	SSR2	TRAPB
HGNC:11325	NA	SSR3	TRAPG
HGNC:11326	NA	SSR4	TRAPD
HGNC:23131	NA	SSR4P1	PRED90
HGNC:23131	NA	SSR4P1	MGC10960
HGNC:23131	NA	SSR4P1	PRED57
HGNC:11327	NA	SSRP1	FACT80
HGNC:11329	NA	SST	SMST
HGNC:11329	NA	SST	SST1
HGNC:25016	NA	SSU72	HSPC182
HGNC:24809	NA	SSUH2	fls485
HGNC:24809	NA	SSUH2	ssu-2
HGNC:11335	NA	SSX1	CT5.1
HGNC:11336	NA	SSX2	HOM-MEL-40
HGNC:11336	NA	SSX2	HD21
HGNC:11336	NA	SSX2	MGC3884
HGNC:11336	NA	SSX2	MGC15364
HGNC:11336	NA	SSX2	MGC119055
HGNC:11336	NA	SSX2	CT5.2a
HGNC:22263	NA	SSX2B	CT5.2b
HGNC:16509	NA	SSX2IP	hMsd1
HGNC:11337	NA	SSX3	CT5.3
HGNC:11338	NA	SSX4	CT5.4
HGNC:16880	NA	SSX4B	OTTHUMT00000056510
HGNC:19652	NA	SSX6P	psiSSX2
HGNC:30637	NA	SSX11P	psiSSX1
HGNC:30640	NA	SSX13P	psiSSX3
HGNC:30641	NA	SSX14P	psiSSX4
HGNC:30642	NA	SSX15P	psiSSX5
HGNC:30643	NA	SSX16P	psiSSX6
HGNC:30644	NA	SSX17P	psiSSX7
HGNC:56827	NA	SSX18P	psiSSX8
HGNC:30645	NA	SSX19P	psiSSX9
HGNC:30638	NA	SSXP10	psiSSX10
HGNC:10862	NA	ST3GAL1	ST3O
HGNC:10862	NA	ST3GAL1	SIATFL
HGNC:10862	NA	ST3GAL1	ST3GalA.1
